track_id,frame,timestamp,role,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,nose_x,nose_y,nose_conf,left_eye_x,left_eye_y,left_eye_conf,right_eye_x,right_eye_y,right_eye_conf,left_ear_x,left_ear_y,left_ear_conf,right_ear_x,right_ear_y,right_ear_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,right_elbow_x,right_elbow_y,right_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,right_wrist_x,right_wrist_y,right_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf,left_knee_x,left_knee_y,left_knee_conf,right_knee_x,right_knee_y,right_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_ankle_x,right_ankle_y,right_ankle_conf
2,0,0.000,near_player,0.816,93,328,280,584,0.00,0.00,0.140,0.00,0.00,0.176,0.00,0.00,0.029,127.21,356.78,0.794,0.00,0.00,0.137,139.57,372.82,0.980,178.27,364.45,0.933,134.32,412.34,0.920,179.99,405.59,0.520,120.74,431.02,0.785,0.00,0.00,0.399,180.48,434.23,0.994,212.60,431.05,0.987,148.85,495.91,0.993,230.05,492.73,0.983,146.43,562.65,0.990,261.38,554.18,0.981
2,5,0.833,near_player,0.808,74,325,304,584,165.26,357.55,0.748,0.00,0.00,0.458,158.80,352.13,0.679,0.00,0.00,0.444,141.79,357.32,0.810,146.49,388.54,0.987,141.25,389.14,0.997,106.84,423.93,0.841,116.57,420.08,0.968,97.29,437.15,0.754,90.44,434.15,0.912,186.85,457.39,0.995,183.85,460.61,0.997,180.00,498.08,0.992,186.50,499.45,0.995,207.54,561.43,0.990,213.75,562.89,0.993
2,10,1.667,near_player,0.799,76,343,310,583,0.00,0.00,0.169,0.00,0.00,0.217,0.00,0.00,0.036,111.68,378.64,0.899,0.00,0.00,0.257,116.72,400.43,0.991,168.17,393.47,0.961,103.28,433.74,0.948,174.24,429.20,0.544,91.39,443.98,0.799,0.00,0.00,0.354,175.96,461.19,0.993,219.10,459.73,0.983,124.83,504.66,0.985,237.32,502.46,0.959,134.28,565.10,0.976,293.88,557.83,0.950
2,15,2.500,near_player,0.813,81,309,309,581,0.00,0.00,0.148,0.00,0.00,0.108,0.00,0.00,0.038,205.17,330.36,0.883,227.74,335.16,0.529,178.51,355.28,0.997,241.09,365.25,0.997,133.80,361.30,0.978,262.17,374.39,0.952,115.19,364.82,0.910,257.95,374.87,0.826,186.19,442.29,0.999,230.94,447.88,0.999,160.68,498.60,0.997,248.75,503.27,0.995,167.91,551.15,0.990,279.64,556.76,0.987
2,20,3.334,near_player,0.727,133,317,313,573,180.69,358.64,0.808,184.66,352.29,0.847,0.00,0.00,0.405,197.99,351.07,0.850,0.00,0.00,0.132,219.98,371.47,0.991,192.15,377.06,0.945,235.17,407.08,0.976,196.46,414.74,0.601,209.13,422.02,0.949,186.56,422.60,0.629,249.82,440.36,0.990,231.90,443.15,0.974,239.78,489.69,0.983,228.88,491.36,0.946,280.74,539.82,0.957,276.62,539.15,0.902
2,25,4.167,near_player,0.819,169,291,303,579,190.69,316.11,0.529,195.54,309.60,0.598,0.00,0.00,0.137,208.10,312.63,0.928,0.00,0.00,0.204,213.36,344.73,0.992,244.36,340.85,0.968,208.10,384.41,0.951,253.77,378.82,0.573,192.71,391.93,0.862,0.00,0.00,0.468,225.90,431.12,0.995,250.05,427.95,0.988,203.06,495.79,0.993,254.29,492.98,0.983,208.78,562.79,0.989,278.76,556.81,0.978
2,30,5.001,near_player,0.886,32,279,271,588,117.78,305.56,0.526,122.40,298.92,0.552,0.00,0.00,0.116,134.43,304.43,0.885,0.00,0.00,0.217,131.93,332.11,0.997,182.40,324.92,0.958,76.16,363.36,0.991,194.26,365.48,0.743,21.49,356.01,0.965,170.52,379.09,0.673,177.21,415.15,0.999,211.93,413.77,0.994,169.66,492.57,0.996,224.56,487.42,0.987,172.90,571.51,0.984,245.12,560.91,0.966
2,35,5.834,near_player,0.859,81,276,278,590,0.00,0.00,0.108,0.00,0.00,0.059,0.00,0.00,0.050,195.33,309.93,0.618,226.25,305.56,0.569,190.47,339.98,0.985,248.92,331.20,0.990,183.42,387.52,0.853,270.11,373.81,0.919,185.89,408.06,0.637,266.76,396.65,0.735,205.39,424.28,0.996,248.79,419.60,0.997,188.23,495.65,0.991,261.72,491.62,0.992,174.64,567.54,0.982,270.53,560.30,0.984
2,40,6.668,near_player,0.834,136,275,287,587,0.00,0.00,0.151,0.00,0.00,0.092,0.00,0.00,0.061,195.19,308.24,0.687,224.31,302.61,0.506,191.81,336.96,0.988,250.63,326.99,0.991,182.36,379.25,0.909,275.93,363.65,0.937,177.07,390.33,0.760,274.10,378.70,0.806,217.58,421.47,0.998,255.88,416.86,0.998,224.83,493.18,0.994,261.23,488.78,0.995,233.98,564.71,0.987,267.63,556.36,0.988
2,45,7.501,near_player,0.803,168,273,293,584,0.00,0.00,0.334,0.00,0.00,0.393,0.00,0.00,0.081,226.88,302.21,0.913,0.00,0.00,0.247,222.76,334.34,0.990,268.82,333.44,0.969,210.41,380.20,0.940,285.59,378.88,0.626,201.49,414.14,0.820,0.00,0.00,0.457,232.23,423.03,0.994,264.69,421.35,0.988,210.15,487.14,0.991,255.59,485.92,0.979,218.29,557.54,0.984,273.01,554.11,0.971
2,50,8.335,near_player,0.808,103,330,297,585,0.00,0.00,0.085,0.00,0.00,0.118,0.00,0.00,0.016,99.60,390.23,0.632,0.00,0.00,0.066,118.47,403.28,0.948,147.25,389.99,0.859,107.46,437.37,0.876,0.00,0.00,0.442,97.55,455.52,0.752,0.00,0.00,0.390,192.67,438.77,0.991,215.76,435.73,0.984,155.83,499.09,0.994,216.63,495.77,0.987,156.52,558.22,0.994,237.58,547.01,0.989
2,55,9.168,near_player,0.767,81,351,288,584,0.00,0.00,0.140,0.00,0.00,0.195,0.00,0.00,0.023,108.05,385.48,0.783,0.00,0.00,0.084,119.51,403.44,0.970,156.22,387.89,0.897,98.87,439.47,0.919,0.00,0.00,0.466,84.64,436.53,0.799,0.00,0.00,0.391,200.04,459.93,0.988,230.93,456.00,0.975,139.65,495.53,0.988,217.06,490.63,0.967,150.07,562.53,0.985,257.22,549.45,0.969
2,60,10.002,near_player,0.848,79,290,299,584,0.00,0.00,0.253,0.00,0.00,0.114,0.00,0.00,0.146,0.00,0.00,0.173,0.00,0.00,0.266,197.35,364.50,0.955,176.83,361.38,0.979,146.87,342.40,0.941,131.04,331.04,0.979,113.72,305.94,0.925,110.57,294.67,0.964,212.90,448.06,0.996,192.76,447.80,0.997,229.21,498.84,0.990,162.60,497.26,0.992,262.22,555.81,0.969,161.13,553.34,0.974
2,65,10.835,near_player,0.827,94,309,293,581,137.26,361.69,0.874,140.43,354.14,0.904,0.00,0.00,0.461,155.89,349.17,0.904,0.00,0.00,0.123,184.35,365.56,0.996,158.05,376.68,0.974,203.10,383.34,0.987,155.30,406.69,0.741,189.22,372.11,0.973,139.38,402.75,0.754,223.28,446.39,0.996,204.18,450.84,0.990,208.31,491.93,0.994,175.90,494.60,0.981,251.91,545.36,0.986,207.74,547.43,0.966
2,70,11.669,near_player,0.753,117,322,309,571,175.23,362.34,0.761,178.58,357.34,0.738,0.00,0.00,0.497,185.95,358.63,0.648,0.00,0.00,0.242,200.42,379.87,0.989,161.51,384.44,0.971,215.40,408.35,0.978,166.33,417.53,0.860,175.30,405.40,0.957,153.65,418.57,0.835,223.23,452.36,0.995,191.63,455.08,0.990,239.86,487.43,0.990,156.90,489.61,0.977,294.43,539.90,0.977,176.87,540.01,0.959
2,75,12.502,near_player,0.765,76,313,263,568,119.92,335.53,0.764,121.64,329.33,0.771,0.00,0.00,0.388,136.62,330.37,0.755,0.00,0.00,0.135,160.97,355.62,0.995,126.39,356.75,0.983,182.86,385.02,0.988,114.96,373.25,0.908,182.34,404.24,0.975,89.73,367.68,0.887,176.50,425.84,0.998,147.50,426.01,0.997,198.83,483.64,0.997,113.80,483.98,0.993,229.74,539.61,0.991,98.25,537.67,0.984
